store_id,region
7,BE
10,BE
12,BG
13,BS
14,BS
15,REL
18,BG
19,BN
22,BW
24,BW
25,BE
28,BW
30,BE
33,BS
34,BN
36,BN
38,BS
39,BN
40,BG
44,BN
45,BS
46,BN
47,BN
49,BG
53,BW
56,BG
57,BW
59,BG
61,BS
62,BN
65,BS
67,BW
69,BE
70,BG
71,BW
72,BE
73,BG
77,BW
79,BW
80,BE
82,BN
84,BW
85,BS
90,BE
91,BN
92,BW
93,BS
94,BG
95,BE
96,BG
99,BN
100,BS
102,BS
103,BS
105,BW
106,REU
107,REL
108,BE
109,BW
110,BE
111,BN
112,BN
113,BG
115,REL
117,BG
122,BS
123,BG
124,BN
128,BG
129,BN
130,BW
131,BS
133,BN
134,BW
135,BS
136,BN
137,BW
139,BW
142,BS
143,BS
144,BE
146,BG
147,BW
149,BN
150,BW
151,BW
153,BS
154,BG
155,BS
157,BW
158,BW
159,BG
161,RC
162,BG
165,BE
166,BN
167,BN
168,BS
169,BS
171,BS
172,BW
173,BW
174,BN
176,BG
177,BN
178,REL
179,BE
180,BN
183,RC
184,BN
185,BW
187,BS
188,BE
190,BS
191,BE
192,BW
193,NEL
194,NEL
195,NEL
197,BG
198,BW
201,BN
202,BS
203,BW
205,BN
206,BG
207,BN
208,BN
209,REU
211,BW
212,BE
213,BS
214,BN
215,BW
217,BS
218,BE
219,BE
220,BW
223,REL
224,BW
225,BG
227,BW
228,BN
230,BN
232,BN
233,BG
234,BW
235,BW
236,BN
237,BW
238,BW
240,BS
244,REU
245,BW
246,BS
247,BG
248,BN
249,BS
250,BE
253,BW
254,BS
255,REU
256,BS
257,BN
260,BW
261,BW
262,BW
263,BN
267,BS
268,BN
270,BG
271,BG
273,BE
274,NEL
275,BW
276,RC
282,BE
283,BW
285,RC
286,BG
287,BN
288,BS
290,BN
291,BW
292,BG
294,BE
298,BW
300,BW
301,BS
304,BW
305,BS
306,BW
307,BE
308,BN
309,BG
310,NEL
312,BW
316,BN
